,April
JavaScript,15.8
Python,14.2
HTML,9.6
TypeScript,9.1
Java,5.9
Jupyter Notebook,5.6
CSS,4.0
C#,3.7
C++,3.3
Shell,3.1
PHP,3.0
Go,2.8
C,2.3
R,1.8
Kotlin,1.4
Vue,1.4
Lua,1.3
Rust,1.2
SCSS,0.8
Markdown,0.8
