,June
JavaScript,16.1
Python,14.1
HTML,12.2
TypeScript,9.3
Java,4.4
C++,4.3
Jupyter Notebook,3.9
C#,3.8
C,3.8
CSS,2.9
Shell,2.7
Go,2.3
Rust,2.0
PHP,2.0
Dart,1.3
Kotlin,1.3
Lua,1.1
Makefile,1.0
Swift,0.9
Vue,0.9
