,March
JavaScript,15.4
HTML,11.7
TypeScript,11.2
Python,10.1
Jupyter Notebook,5.8
C++,5.8
Java,5.5
C#,4.0
Go,2.8
Shell,2.8
CSS,2.6
C,2.2
Kotlin,1.9
Vue,1.8
Lua,1.5
Rust,1.4
SCSS,1.2
PHP,1.1
Swift,0.9
TeX,0.9
