,February
JavaScript,14.1
Python,11.8
TypeScript,9.7
HTML,9.3
Java,9.1
C++,5.8
Shell,4.4
CSS,3.8
C#,3.7
Jupyter Notebook,3.7
C,2.4
PHP,2.0
Kotlin,1.7
Rust,1.7
Lua,1.7
Swift,1.5
Go,1.5
Vue,1.5
Dockerfile,0.9
SCSS,0.8
