,September
JavaScript,14.8
HTML,14.3
Python,10.4
Java,9.5
TypeScript,9.5
Jupyter Notebook,5.5
C#,4.4
C++,3.6
CSS,3.5
C,3.0
PHP,2.5
Shell,1.9
Dart,1.6
Go,1.4
R,1.4
Lua,1.4
Vue,1.3
Ruby,1.0
Swift,0.8
Kotlin,0.8
