,January
Python,15.3
JavaScript,12.7
HTML,11.7
TypeScript,9.0
Makefile,8.4
Java,4.8
Jupyter Notebook,4.2
Shell,3.5
C++,3.1
CSS,2.8
PHP,2.6
Vue,2.3
C#,2.2
Go,1.7
C,1.5
Rust,1.0
R,1.0
Lua,1.0
Swift,0.9
Kotlin,0.8
