,May
JavaScript,15.6
Shell,12.8
Python,11.8
HTML,8.6
TypeScript,8.3
Java,5.2
Jupyter Notebook,4.5
C++,4.0
C#,3.8
CSS,3.3
Vue,2.1
Go,2.1
Rust,1.8
PHP,1.8
C,1.3
Kotlin,1.3
SCSS,1.2
R,1.1
Dart,0.9
Swift,0.8
